1,Guardians of the Galaxy,Action,James Gunn,2014,121
2,Prometheus,Adventure,Ridley Scott,2012,124
3,Split,Horror,M. Night Shyamalan,2016,117
4,Sing,Animation,Christophe Lourdelet,2016,108
5,Suicide Squad,Action,David Ayer,2016,123
6,The Great Wall,Action,Yimou Zhang,2016,103
7,La La Land,Comedy,Damien Chazelle,2016,128
8,Mindhorn,Comedy,Sean Foley,2016,89
9,The Lost City of Z,Action,James Gray,2016,141
10,Passengers,Adventure,Morten Tyldum,2016,116
11,Fantastic Beasts and Where to Find Them,Adventure,David Yates,2016,133
12,Hidden Figures,Biography,Theodore Melfi,2016,127
13,Rogue One,Action,Gareth Edwards,2016,133
14,Moana,Animation,Ron Clements,2016,107
15,Colossal,Action,Nacho Vigalondo,2016,109
16,The Secret Life of Pets,Animation,Chris Renaud,2016,87
17,Hacksaw Ridge,Biography,Mel Gibson,2016,139
18,Jason Bourne,Action,Paul Greengrass,2016,123
19,Lion,Biography,Garth Davis,2016,118
20,Arrival,Drama,Denis Villeneuve,2016,116
21,Gold,Adventure,Stephen Gaghan,2016,120
22,Manchester by the Sea,Drama,Kenneth Lonergan,2016,137
23,Hounds of Love,Crime,Ben Young,2016,108
24,Trolls,Animation,Walt Dohrn,2016,92
25,Independence Day: Resurgence,Action,Roland Emmerich,2016,120
26,Paris pieds nus,Comedy,Dominique Abel,2016,83
27,Bahubali: The Beginning,Action,S.S. Rajamouli,2015,159
28,Dead Awake,Horror,Phillip Guzman,2016,99
29,Bad Moms,Comedy,Jon Lucas,2016,100
30,Assassin's Creed,Action,Justin Kurzel,2016,115
31,Why Him?,Comedy,John Hamburg,2016,111
32,Nocturnal Animals,Drama,Tom Ford,2016,116
33,X-Men: Apocalypse,Action,Bryan Singer,2016,144
34,Deadpool,Action,Tim Miller,2016,108
35,Resident Evil: The Final Chapter,Action,Paul W.S. Anderson,2016,107
36,Captain America: Civil War,Action,Anthony Russo,2016,147
37,Interstellar,Adventure,Christopher Nolan,2014,169
38,Doctor Strange,Action,Scott Derrickson,2016,115
39,The Magnificent Seven,Action,Antoine Fuqua,2016,132
40,########,Comedy,Patrick Read Johnson,2007,113
41,Sausage Party,Animation,Greg Tiernan,2016,89
42,Moonlight,Drama,Barry Jenkins,2016,111
43,Don't Fuck in the Woods,Horror,Shawn Burkett,2016,73
44,The Founder,Biography,John Lee Hancock,2016,115
45,Lowriders,Drama,Ricardo de Montreuil,2016,99
46,Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,2011,136
47,Miss Sloane,Drama,John Madden,2016,132
48,Fallen,Adventure,Scott Hicks,2016,91
49,Star Trek Beyond,Action,Justin Lin,2016,122
50,The Last Face,Drama,Sean Penn,2016,130
